(1503721, 'COD-FISH IN BISCAYAN SAUCE', 'Sodium, Na', 455.0, 'MG')
(1503721, 'COD-FISH IN BISCAYAN SAUCE', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1509135, 'COD LOINS', 'Fiber, total dietary', 0.0, 'G')
(1509135, 'COD LOINS', 'Calcium, Ca', 14.0, 'MG')
(1509135, 'COD LOINS', 'Iron, Fe', 1.03, 'MG')
(1509135, 'COD LOINS', 'Sodium, Na', 71.0, 'MG')
(1509135, 'COD LOINS', 'Vitamin C, total ascorbic acid', 0.9, 'MG')
(1547413, 'COD', 'Fiber, total dietary', 0.0, 'G')
(1547413, 'COD', 'Calcium, Ca', 0.0, 'MG')
(1547413, 'COD', 'Iron, Fe', 0.32, 'MG')
(1547413, 'COD', 'Sodium, Na', 71.0, 'MG')
(1547413, 'COD', 'Vitamin C, total ascorbic acid', 3.2, 'MG')
(1548698, 'COD LOINS', 'Fiber, total dietary', 0.0, 'G')
(1548698, 'COD LOINS', 'Calcium, Ca', 18.0, 'MG')
(1548698, 'COD LOINS', 'Iron, Fe', 0.32, 'MG')
(1548698, 'COD LOINS', 'Sodium, Na', 259.0, 'MG')
(1557374, 'COD CAKES', 'Fiber, total dietary', 2.8, 'G')
(1557374, 'COD CAKES', 'Calcium, Ca', 42.0, 'MG')
(1557374, 'COD CAKES', 'Iron, Fe', 1.01, 'MG')
(1557374, 'COD CAKES', 'Sodium, Na', 468.0, 'MG')
(1557374, 'COD CAKES', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1561500, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Fiber, total dietary', 0.8, 'G')
(1561500, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Calcium, Ca', 8.0, 'MG')
(1561500, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Iron, Fe', 0.14, 'MG')
(1561500, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Sodium, Na', 263.0, 'MG')
(1561500, 'COD FILLET WITH GARLIC & HERBS, VEGGIES & WILD RICE', 'Vitamin C, total ascorbic acid', 0.5, 'MG')
(1578038, 'COD FILLETS', 'Fiber, total dietary', 0.0, 'G')
(1578038, 'COD FILLETS', 'Calcium, Ca', 0.0, 'MG')
(1578038, 'COD FILLETS', 'Iron, Fe', 0.0, 'MG')
(1578038, 'COD FILLETS', 'Sodium, Na', 257.0, 'MG')
(1578038, 'COD FILLETS', 'Vitamin C, total ascorbic acid', 0.0, 'MG')
(1599192, 'COD FILLETS WITH LEMON PEPPER', 'Fiber, total dietary', 0.4, 'G')
(1599192, 'COD FILLETS WITH LEMON PEPPER', 'Calcium, Ca', 9.0, 'MG')
(1599192, 'COD FILLETS WITH LEMON PEPPER', 'Iron, Fe', 0.16, 'MG')
(1599192, 'COD FILLETS WITH LEMON PEPPER', 'Sodium, Na', 310.0, 'MG')
(1599192, 'COD FILLETS WITH LEMON PEPPER', 'Vitamin C, total ascorbic acid', 2.7, 'MG')
(1599194, 'COD FILLET WITH VEGGIES & CHIPOTLE', 'Fiber, total dietary', 0.8, 'G')
